order,product,collection,workspace_id,article_id,title,url,state,created_at,updated_at
301,Oloid Workflow,Accounts,e4gi378c,9807063,How to Configure User Sync in Microsoft Entra ID Admin Console,https://oloid.help/en/articles/9807063-how-to-configure-user-sync-in-microsoft-entra-id-admin-console,published,2024-08-30 18:41:33,2026-07-30 10:13:50
683,Oloid Workflow,Set up 3rd party Applications,e4gi378c,12688798,Connecting Workday HRIS with Oloid Cloud Platform,https://oloid.help/en/articles/12688798-connecting-workday-hris-with-oloid-cloud-platform,published,2025-10-29 10:53:14,2026-02-03 09:08:24
684,Oloid Workflow,Set up 3rd party Applications,e4gi378c,8015619,Set up Workday for Oloid Workflow integrations,,draft,2023-06-15 10:18:53,2026-03-24 15:54:26
792,Oloid Workflow,Getting Started,e4gi378c,7041074,Outbound Network Access Requirements,https://oloid.help/en/articles/7041074-outbound-network-access-requirements,published,2023-03-01 11:36:11,2026-01-19 04:04:26
896,Oloid Workflow,Getting Started,e4gi378c,8052890,Instruction for Workflow Instance Setup,https://oloid.help/en/articles/8052890-instruction-for-workflow-instance-setup,published,2023-06-26 11:12:04,2025-11-26 07:08:55
983,Oloid Workflow,Oloid Workflow,e4gi378c,7986154,Oloid Workflow Guides List,https://oloid.help/en/articles/7986154-oloid-workflow-guides-list,published,2023-06-07 03:33:38,2025-09-24 10:48:13
1267,Oloid Workflow,Set up 3rd party Applications,e4gi378c,8559826,Set up Microsoft Entra ID for Oloid Workflow Integration,https://oloid.help/en/articles/8559826-set-up-microsoft-entra-id-for-oloid-workflow-integration,published,2023-11-07 08:31:56,2025-03-19 03:30:12
1283,Oloid Workflow,Getting Started,e4gi378c,9717036,How to upgrade Oloid Workflow ?,https://oloid.help/en/articles/9717036-how-to-upgrade-oloid-workflow,published,2024-08-08 09:43:54,2025-03-07 10:29:37
1388,Oloid Workflow,How-to guides,e4gi378c,8574780,How to create a flow?,https://oloid.help/en/articles/8574780-how-to-create-a-flow,published,2023-11-10 04:20:53,2024-12-13 08:45:57
1389,Oloid Workflow,How-to guides,e4gi378c,8574815,How to import a flow?,https://oloid.help/en/articles/8574815-how-to-import-a-flow,published,2023-11-10 05:03:38,2024-12-13 08:16:43
1390,Oloid Workflow,How-to guides,e4gi378c,10264390,How to enable/disable flow,https://oloid.help/en/articles/10264390-how-to-enable-disable-flow,published,2024-12-11 06:01:36,2024-12-13 08:14:28
1527,Oloid Workflow,Overview,e4gi378c,9674462,Oloid Workflow- Application Modes,https://oloid.help/en/articles/9674462-oloid-workflow-application-modes,published,2024-07-30 10:27:40,2024-08-05 11:20:35
1530,Oloid Workflow,Oloid Workflow,e4gi378c,9664398,Using the Terminated User Processing API,https://oloid.help/en/articles/9664398-using-the-terminated-user-processing-api,published,2024-07-26 22:40:38,2024-07-26 22:54:40
1531,Oloid Workflow,Getting Started,e4gi378c,9674338,How to uninstall Oloid Workflow,https://oloid.help/en/articles/9674338-how-to-uninstall-oloid-workflow,published,2024-07-30 09:32:47,2024-07-30 10:04:25
1532,Oloid Workflow,Getting Started,e4gi378c,9674352,How to pair Oloid Workflow instance with Oloid Cloud Platform,https://oloid.help/en/articles/9674352-how-to-pair-oloid-workflow-instance-with-oloid-cloud-platform,published,2024-07-30 09:37:52,2024-07-30 10:17:53
1599,Oloid Workflow,Set up 3rd party Applications,e4gi378c,9139936,Set up Genetec Web SDK for Oloid Workflow integrations,https://oloid.help/en/articles/9139936-set-up-genetec-web-sdk-for-oloid-workflow-integrations,published,2024-04-01 09:01:01,2024-04-01 10:11:12
1606,Oloid Workflow,CloudKey,e4gi378c,9016890,QR Code Verification and Door Access Control,https://oloid.help/en/articles/9016890-qr-code-verification-and-door-access-control,published,2024-02-29 23:21:24,2024-11-21 05:51:40
1627,Oloid Workflow,Oloid Workflow,e4gi378c,8828537,Set up Workday Integration - Time and Attendance and User Sync,https://oloid.help/en/articles/8828537-set-up-workday-integration-time-and-attendance-and-user-sync,published,2024-01-16 22:57:08,2024-01-17 00:29:03
1633,Oloid Workflow,Oloid Workflow,e4gi378c,7983269,Getting Started with Oloid Workflow,https://oloid.help/en/articles/7983269-getting-started-with-oloid-workflow,published,2023-06-06 09:38:08,2023-12-01 10:04:28
1656,Oloid Workflow,Oloid Workflow,e4gi378c,7983465,What is Oloid Workflow?,https://oloid.help/en/articles/7983465-what-is-oloid-workflow,published,2023-06-06 10:35:42,2023-11-15 04:13:05
1658,Oloid Workflow,Pre-built Flow Templates,e4gi378c,8576916,ADP to Active Directory Integration,https://oloid.help/en/articles/8576916-adp-to-active-directory-integration,published,2023-11-10 22:54:09,2023-11-10 23:15:12
1664,Oloid Workflow,Set up 3rd party Applications,e4gi378c,8495939,Set up C-Cure 9000 for Oloid Workflow integrations,https://oloid.help/en/articles/8495939-set-up-c-cure-9000-for-oloid-workflow-integrations,published,2023-10-19 16:28:28,2023-10-19 16:37:31
1683,Oloid Workflow,Pre-built Flow Templates,e4gi378c,8105352,Pro-Watch to Everbridge Critical Event Response Automation,https://oloid.help/en/articles/8105352-pro-watch-to-everbridge-critical-event-response-automation,published,2023-07-07 05:32:09,2023-07-12 16:40:43
1684,Oloid Workflow,Pre-built Flow Templates,e4gi378c,8105361,ServiceNow to Pro-Watch Access Management Automation,https://oloid.help/en/articles/8105361-servicenow-to-pro-watch-access-management-automation,published,2023-07-07 05:38:40,2023-07-12 16:41:05
1685,Oloid Workflow,Pre-built Flow Templates,e4gi378c,8105310,Pro-Watch to ServiceNow Incident Automation and Ticketing Integration,https://oloid.help/en/articles/8105310-pro-watch-to-servicenow-incident-automation-and-ticketing-integration,published,2023-07-07 04:52:58,2023-07-12 16:41:23
1686,Oloid Workflow,Pre-built Flow Templates,e4gi378c,8105347,Workday to Pro-Watch Employee Lifecycle Automation,https://oloid.help/en/articles/8105347-workday-to-pro-watch-employee-lifecycle-automation,published,2023-07-07 05:26:59,2023-07-12 16:41:43
1687,Oloid Workflow,Pre-built Flow Templates,e4gi378c,7041159,ProWatch <> ServiceNow Integration,https://oloid.help/en/articles/7041159-prowatch-servicenow-integration,published,2023-03-01 11:55:13,2023-06-02 08:22:38
1688,Oloid Workflow,Accounts,e4gi378c,7044331,Oloid Account,https://oloid.help/en/articles/7044331-oloid-account,published,2023-03-02 11:58:03,2023-06-02 08:17:38
1689,Oloid Workflow,Accounts,e4gi378c,7044324,ServiceNow Account,https://oloid.help/en/articles/7044324-servicenow-account,published,2023-03-02 11:52:14,2023-06-02 08:19:01
1690,Oloid Workflow,Accounts,e4gi378c,7044315,ProWatch Account,https://oloid.help/en/articles/7044315-prowatch-account,published,2023-03-02 11:47:13,2023-03-15 04:35:50
1691,Oloid Workflow,Accounts,e4gi378c,7041132,Accounts,https://oloid.help/en/articles/7041132-accounts,published,2023-03-01 11:46:32,2024-11-21 05:53:11
1692,Oloid Workflow,On-Prem Application Health,e4gi378c,7041126,Monitoring Health Status,https://oloid.help/en/articles/7041126-monitoring-health-status,published,2023-03-01 11:44:19,2023-06-02 08:13:18
1693,Oloid Workflow,On-Prem Application Health,e4gi378c,7041094,How to configure System and API Health in Oloid Workflow,https://oloid.help/en/articles/7041094-how-to-configure-system-and-api-health-in-oloid-workflow,published,2023-03-01 11:40:40,2023-06-02 08:12:32
1694,Oloid Workflow,Data Protection,e4gi378c,7041231,Data Protection,https://oloid.help/en/articles/7041231-data-protection,published,2023-03-01 12:22:19,2023-05-17 04:57:18
1695,Oloid Workflow,Security,e4gi378c,7041176,Security,https://oloid.help/en/articles/7041176-security,published,2023-03-01 12:00:42,2023-06-07 04:41:51
1696,Oloid Workflow,Getting Started,e4gi378c,7041076,Suggested Approach for Installation and Maintenance,https://oloid.help/en/articles/7041076-suggested-approach-for-installation-and-maintenance,published,2023-03-01 11:37:40,2023-07-03 06:13:28
1697,Oloid Workflow,Getting Started,e4gi378c,7041071,Pre-Req / System Requirements,https://oloid.help/en/articles/7041071-pre-req-system-requirements,published,2023-03-01 11:34:19,2023-03-02 06:26:16
1698,Oloid Workflow,Overview,e4gi378c,7043809,Oloid Workflow - Core Features,https://oloid.help/en/articles/7043809-oloid-workflow-core-features,published,2023-03-02 07:42:55,2023-05-31 05:27:58
1699,Oloid Workflow,Overview,e4gi378c,7041027,Oloid Workflow- Key Concepts,https://oloid.help/en/articles/7041027-oloid-workflow-key-concepts,published,2023-03-01 11:15:55,2023-03-01 13:43:07
1700,Oloid Workflow,Overview,e4gi378c,7041009,Oloid Workflow - Overview,https://oloid.help/en/articles/7041009-oloid-workflow-overview,published,2023-03-01 11:05:58,2023-06-02 08:02:27
1701,Oloid Workflow,Set up 3rd party Applications,e4gi378c,8015577,Set up ServiceNow for Oloid Workflow integrations,https://oloid.help/en/articles/8015577-set-up-servicenow-for-oloid-workflow-integrations,published,2023-06-15 10:04:12,2023-06-22 09:51:20
1702,Oloid Workflow,Set up 3rd party Applications,e4gi378c,7978577,Set up ProWatch for Oloid Workflow Integrations,https://oloid.help/en/articles/7978577-set-up-prowatch-for-oloid-workflow-integrations,published,2023-06-05 09:45:47,2023-06-05 11:21:48
1703,Oloid Workflow,Set up 3rd party Applications,e4gi378c,7966134,Set up Lenel OnGuard for Oloid Workflow integrations,https://oloid.help/en/articles/7966134-set-up-lenel-onguard-for-oloid-workflow-integrations,published,2023-05-31 10:41:48,2023-05-31 10:42:46
1704,Oloid Workflow,Set up 3rd party Applications,e4gi378c,7966111,Set up S2 NetBox for Oloid Workflow integrations,https://oloid.help/en/articles/7966111-set-up-s2-netbox-for-oloid-workflow-integrations,published,2023-05-31 10:35:00,2023-05-31 10:41:37
